model,dataset,task,level,median_tokens_per_sample,global_avg_tokens_per_sample,global_avg_latency_sec,ratio_latency_sec_per_sample,regression_latency_sec_per_sample,n_windows,r2
codellama,LFD,is_vulnerable_patch,L1,598.0,957.9,6.5,4.058,6.296,9,0.971
codellama,LFD,is_vulnerable_patch,L2,1224.0,957.9,6.5,8.306,6.706,9,0.971
codellama,LFD,is_vulnerable_patch,L3,1933.0,957.9,6.5,13.117,7.171,9,0.971
codellama,LFD,is_vulnerable_patch_cve_cwe,L1,631.0,990.9,6.5,4.139,6.291,9,0.9694
codellama,LFD,is_vulnerable_patch_cve_cwe,L2,1257.0,990.9,6.5,8.246,6.756,9,0.9694
codellama,LFD,is_vulnerable_patch_cve_cwe,L3,1966.0,990.9,6.5,12.896,7.283,9,0.9694
codellama,LFD,is_vulnerable_vuln,L1,552.0,915.9,6.5,3.917,6.239,9,0.9935
codellama,LFD,is_vulnerable_vuln,L2,1281.0,915.9,6.5,9.091,6.765,9,0.9935
codellama,LFD,is_vulnerable_vuln,L3,1808.0,915.9,6.5,12.831,7.145,9,0.9935
codellama,LFD,is_vulnerable_vuln_cve_cwe,L1,588.0,948.9,6.5,4.028,6.283,9,0.9825
codellama,LFD,is_vulnerable_vuln_cve_cwe,L2,1314.0,948.9,6.5,9.001,6.776,9,0.9825
codellama,LFD,is_vulnerable_vuln_cve_cwe,L3,1841.0,948.9,6.5,12.611,7.135,9,0.9825
codellama,PBD,is_vulnerable_patch,L1,720.0,1662.0,6.9,2.989,6.682,30,0.1348
codellama,PBD,is_vulnerable_patch,L2,1451.0,1662.0,6.9,6.024,6.856,30,0.1348
codellama,PBD,is_vulnerable_patch,L3,2010.0,1662.0,6.9,8.345,6.99,30,0.1348
codellama,PBD,is_vulnerable_patch_cve_cwe,L1,753.0,1694.5,6.95,3.089,6.674,30,0.1471
codellama,PBD,is_vulnerable_patch_cve_cwe,L2,1483.0,1694.5,6.95,6.083,6.856,30,0.1471
codellama,PBD,is_vulnerable_patch_cve_cwe,L3,2043.0,1694.5,6.95,8.38,6.995,30,0.1471
codellama,PBD,is_vulnerable_vuln,L1,713.0,1610.2,6.9,3.055,6.465,30,0.5006
codellama,PBD,is_vulnerable_vuln,L2,1234.0,1610.2,6.9,5.288,6.721,30,0.5006
codellama,PBD,is_vulnerable_vuln,L3,1932.0,1610.2,6.9,8.279,7.064,30,0.5006
codellama,PBD,is_vulnerable_vuln_cve_cwe,L1,746.0,1642.7,6.9,3.134,6.524,30,0.3765
codellama,PBD,is_vulnerable_vuln_cve_cwe,L2,1266.0,1642.7,6.9,5.318,6.74,30,0.3765
codellama,PBD,is_vulnerable_vuln_cve_cwe,L3,1965.0,1642.7,6.9,8.254,7.029,30,0.3765
deepseek,LFD,is_vulnerable_patch,L1,352.0,545.0,10.75,6.943,11.95,18,0.0612
deepseek,LFD,is_vulnerable_patch,L2,641.0,545.0,10.75,12.644,11.198,18,0.0612
deepseek,LFD,is_vulnerable_patch,L3,1119.0,545.0,10.75,22.072,9.955,18,0.0612
deepseek,LFD,is_vulnerable_patch_cve_cwe,L1,372.0,565.0,7.5,4.938,8.776,18,0.2641
deepseek,LFD,is_vulnerable_patch_cve_cwe,L2,661.0,565.0,7.5,8.774,7.395,18,0.2641
deepseek,LFD,is_vulnerable_patch_cve_cwe,L3,1141.0,565.0,7.5,15.146,5.101,18,0.2641
deepseek,LFD,is_vulnerable_vuln,L1,338.0,523.3,11.35,7.331,12.487,18,0.0553
deepseek,LFD,is_vulnerable_vuln,L2,676.0,523.3,11.35,14.662,11.474,18,0.0553
deepseek,LFD,is_vulnerable_vuln,L3,1055.0,523.3,11.35,22.882,10.339,18,0.0553
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L1,358.0,543.3,7.4,4.876,8.007,18,0.0016
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L2,696.0,543.3,7.4,9.48,7.847,18,0.0016
deepseek,LFD,is_vulnerable_vuln_cve_cwe,L3,1077.0,543.3,7.4,14.669,7.668,18,0.0016
deepseek,PBD,is_vulnerable_patch,L1,413.0,919.1,11.05,4.965,12.207,60,0.0394
deepseek,PBD,is_vulnerable_patch,L2,816.0,919.1,11.05,9.81,11.753,60,0.0394
deepseek,PBD,is_vulnerable_patch,L3,1232.0,919.1,11.05,14.812,11.284,60,0.0394
deepseek,PBD,is_vulnerable_patch_cve_cwe,L1,435.0,941.1,6.3,2.912,8.116,60,0.1781
deepseek,PBD,is_vulnerable_patch_cve_cwe,L2,838.0,941.1,6.3,5.61,7.148,60,0.1781
deepseek,PBD,is_vulnerable_patch_cve_cwe,L3,1254.0,941.1,6.3,8.395,6.15,60,0.1781
deepseek,PBD,is_vulnerable_vuln,L1,415.0,885.2,12.6,5.907,13.359,30,0.1433
deepseek,PBD,is_vulnerable_vuln,L2,716.0,885.2,12.6,10.191,12.817,30,0.1433
deepseek,PBD,is_vulnerable_vuln,L3,1118.0,885.2,12.6,15.913,12.093,30,0.1433
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L1,437.0,935.4,7.1,3.317,8.454,59,0.0941
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L2,738.0,935.4,7.1,5.602,7.93,59,0.0941
deepseek,PBD,is_vulnerable_vuln_cve_cwe,L3,1140.0,935.4,7.1,8.653,7.23,59,0.0941
llama,LFD,is_vulnerable_patch,L1,413.0,635.5,5.4,3.509,5.356,9,0.8346
llama,LFD,is_vulnerable_patch,L2,775.0,635.5,5.4,6.585,5.455,9,0.8346
llama,LFD,is_vulnerable_patch,L3,1265.0,635.5,5.4,10.749,5.589,9,0.8346
llama,LFD,is_vulnerable_patch_cve_cwe,L1,438.0,657.5,5.4,3.597,5.423,9,0.119
llama,LFD,is_vulnerable_patch_cve_cwe,L2,797.0,657.5,5.4,6.546,5.45,9,0.119
llama,LFD,is_vulnerable_patch_cve_cwe,L3,1287.0,657.5,5.4,10.57,5.488,9,0.119
llama,LFD,is_vulnerable_vuln,L1,387.0,606.6,5.4,3.445,5.342,9,0.9337
llama,LFD,is_vulnerable_vuln,L2,816.0,606.6,5.4,7.264,5.463,9,0.9337
llama,LFD,is_vulnerable_vuln,L3,1195.0,606.6,5.4,10.638,5.57,9,0.9337
llama,LFD,is_vulnerable_vuln_cve_cwe,L1,411.0,628.6,5.4,3.531,5.353,9,0.8495
llama,LFD,is_vulnerable_vuln_cve_cwe,L2,838.0,628.6,5.4,7.199,5.475,9,0.8495
llama,LFD,is_vulnerable_vuln_cve_cwe,L3,1217.0,628.6,5.4,10.455,5.583,9,0.8495
