model,dataset,task,n_windows,alpha_sec,beta_sec_per_token,r2,median_window_tokens,median_window_sec
codellama,LFD,is_vulnerable_patch,9,59.0336,0.000656,0.971,9579.0,65.0
codellama,LFD,is_vulnerable_patch_cve_cwe,9,58.2188,0.000743,0.9694,9909.0,65.0
codellama,LFD,is_vulnerable_vuln,9,58.4132,0.000721,0.9935,9159.0,65.0
codellama,LFD,is_vulnerable_vuln_cve_cwe,9,58.828,0.00068,0.9825,9489.0,65.0
codellama,PBD,is_vulnerable_patch,30,65.0955,0.000239,0.1348,16620.5,69.0
codellama,PBD,is_vulnerable_patch_cve_cwe,30,64.8674,0.000249,0.1471,16944.5,69.5
codellama,PBD,is_vulnerable_vuln,30,61.1532,0.000491,0.5006,16102.5,69.0
codellama,PBD,is_vulnerable_vuln_cve_cwe,30,62.1558,0.000414,0.3765,16426.5,69.0
deepseek,LFD,is_vulnerable_patch,18,128.6528,-0.002601,0.0612,5450.0,107.5
deepseek,LFD,is_vulnerable_patch_cve_cwe,18,105.541,-0.004779,0.2641,5650.0,75.0
deepseek,LFD,is_vulnerable_vuln,18,135.0043,-0.002997,0.0553,5233.0,113.5
deepseek,LFD,is_vulnerable_vuln_cve_cwe,18,81.752,-0.000471,0.0016,5433.0,74.0
deepseek,PBD,is_vulnerable_patch,60,126.7235,-0.001127,0.0394,9191.0,110.5
deepseek,PBD,is_vulnerable_patch_cve_cwe,60,91.5964,-0.0024,0.1781,9411.0,63.0
deepseek,PBD,is_vulnerable_vuln,30,141.0621,-0.001801,0.1433,8852.5,126.0
deepseek,PBD,is_vulnerable_vuln_cve_cwe,59,92.151,-0.001741,0.0941,9354.0,71.0
llama,LFD,is_vulnerable_patch,9,52.4264,0.000274,0.8346,6355.0,54.0
llama,LFD,is_vulnerable_patch_cve_cwe,9,53.8906,7.7e-05,0.119,6575.0,54.0
llama,LFD,is_vulnerable_vuln,9,52.331,0.000282,0.9337,6066.0,54.0
llama,LFD,is_vulnerable_vuln_cve_cwe,9,52.3569,0.000285,0.8495,6286.0,54.0
llama,PBD,is_vulnerable_patch,30,53.9391,2.8e-05,0.0028,10887.0,55.0
llama,PBD,is_vulnerable_patch_cve_cwe,30,53.2472,0.000179,0.7229,11107.0,55.0
llama,PBD,is_vulnerable_vuln,30,53.8072,3.7e-05,0.0049,10436.5,55.0
llama,PBD,is_vulnerable_vuln_cve_cwe,30,53.2112,0.000157,0.2816,10656.5,55.0
mistral,LFD,is_vulnerable_patch,6,1.0,0.0,0.0,9447.0,1.0
mistral,LFD,is_vulnerable_patch_cve_cwe,6,1.257,-8e-06,0.0066,9943.5,1.0
mistral,LFD,is_vulnerable_vuln,6,1.0,0.0,0.0,8796.0,1.0
mistral,LFD,is_vulnerable_vuln_cve_cwe,6,1.0,0.0,0.0,9126.0,1.0
mistral,PBD,is_vulnerable_patch,28,0.6689,2.5e-05,0.3312,16110.0,1.0
mistral,PBD,is_vulnerable_patch_cve_cwe,26,0.1331,6.8e-05,0.3275,16649.0,1.0
mistral,PBD,is_vulnerable_vuln,27,0.598,2.9e-05,0.3997,15606.0,1.0
mistral,PBD,is_vulnerable_vuln_cve_cwe,26,0.5268,4.1e-05,0.1704,15948.5,1.0
qwen3_coder,LFD,is_vulnerable_patch,18,311.4359,-0.003033,0.0453,6373.0,289.5
qwen3_coder,LFD,is_vulnerable_patch_cve_cwe,18,341.6639,-0.003803,0.1293,6663.0,316.0
qwen3_coder,LFD,is_vulnerable_vuln,18,271.6354,-0.000603,0.005,6097.0,262.0
qwen3_coder,LFD,is_vulnerable_vuln_cve_cwe,18,305.4745,0.000106,0.0001,6387.0,311.5
qwen3_coder,PBD,is_vulnerable_patch,60,502.0949,-0.000945,0.0004,10967.0,438.0
qwen3_coder,PBD,is_vulnerable_patch_cve_cwe,60,354.0226,-0.001919,0.0387,11253.0,335.0
qwen3_coder,PBD,is_vulnerable_vuln,60,532.8562,-0.002955,0.0035,10617.0,427.5
qwen3_coder,PBD,is_vulnerable_vuln_cve_cwe,30,324.4205,-0.003109,0.2095,10901.0,293.0
starcoder,LFD,is_vulnerable_patch,9,41.4636,0.000779,0.9224,8189.0,48.0
starcoder,LFD,is_vulnerable_patch_cve_cwe,9,42.6892,0.000636,0.9278,8499.0,48.0
starcoder,LFD,is_vulnerable_vuln,9,65.272,0.000501,0.7189,7836.0,69.0
starcoder,LFD,is_vulnerable_vuln_cve_cwe,9,42.436,0.000675,0.9163,8146.0,48.0
starcoder,PBD,is_vulnerable_patch,30,43.9871,0.000594,0.5382,14083.0,54.0
starcoder,PBD,is_vulnerable_patch_cve_cwe,30,43.5444,0.000608,0.5559,14369.0,54.0
starcoder,PBD,is_vulnerable_vuln,30,65.986,0.000448,0.6437,13599.0,73.0
starcoder,PBD,is_vulnerable_vuln_cve_cwe,30,42.6713,0.00068,0.6445,13883.0,53.5
