model,dataset,task,level,n,median,p95,mean,max
codellama,LFD,is_vulnerable_patch,L1,85,598.0,2199.0,913.6117647058824,7941
codellama,LFD,is_vulnerable_patch,L2,15,1224.0,2465.0,1435.8,2874
codellama,LFD,is_vulnerable_patch,L3,3,1933.0,1933.0,1622.3333333333333,2355
codellama,LFD,is_vulnerable_patch_cve_cwe,L1,85,631.0,2232.0,946.6588235294117,7974
codellama,LFD,is_vulnerable_patch_cve_cwe,L2,15,1257.0,2498.0,1468.7333333333333,2907
codellama,LFD,is_vulnerable_patch_cve_cwe,L3,3,1966.0,1966.0,1655.3333333333333,2388
codellama,LFD,is_vulnerable_vuln,L1,85,552.0,2197.0,888.2,7937
codellama,LFD,is_vulnerable_vuln,L2,15,1281.0,2332.0,1333.4,2585
codellama,LFD,is_vulnerable_vuln,L3,3,1808.0,1808.0,1541.6666666666667,2276
codellama,LFD,is_vulnerable_vuln_cve_cwe,L1,85,588.0,2230.0,921.2470588235294,7970
codellama,LFD,is_vulnerable_vuln_cve_cwe,L2,15,1314.0,2365.0,1366.3333333333333,2618
codellama,LFD,is_vulnerable_vuln_cve_cwe,L3,3,1841.0,1841.0,1574.6666666666667,2309
codellama,PBD,is_vulnerable_patch,L1,203,720.0,2974.0,1090.1822660098521,11777
codellama,PBD,is_vulnerable_patch,L2,41,1451.0,5595.0,2055.9756097560976,9162
codellama,PBD,is_vulnerable_patch,L3,70,2010.0,10812.0,3527.9,21769
codellama,PBD,is_vulnerable_patch_cve_cwe,L1,203,753.0,3007.0,1122.8226600985222,11810
codellama,PBD,is_vulnerable_patch_cve_cwe,L2,41,1483.0,5628.0,2088.4634146341464,9195
codellama,PBD,is_vulnerable_patch_cve_cwe,L3,70,2043.0,10843.0,3560.3714285714286,21801
codellama,PBD,is_vulnerable_vuln,L1,203,713.0,3065.0,1100.9556650246304,11762
codellama,PBD,is_vulnerable_vuln,L2,41,1234.0,5598.0,1971.1707317073171,8778
codellama,PBD,is_vulnerable_vuln,L3,70,1932.0,12459.0,3260.1857142857143,16989
codellama,PBD,is_vulnerable_vuln_cve_cwe,L1,203,746.0,3097.0,1133.5960591133005,11795
codellama,PBD,is_vulnerable_vuln_cve_cwe,L2,41,1266.0,5631.0,2003.658536585366,8811
codellama,PBD,is_vulnerable_vuln_cve_cwe,L3,70,1965.0,12490.0,3292.657142857143,17022
deepseek,LFD,is_vulnerable_patch,L1,85,352.0,1172.0,524.2,4231
deepseek,LFD,is_vulnerable_patch,L2,15,641.0,1373.0,814.4,1750
deepseek,LFD,is_vulnerable_patch,L3,3,1119.0,1119.0,920.0,1278
